Time,Chatroom(Desired),Chatroom(Opened),Message Input,Unique Code(Searched),Chatroom(Found),Status,Reason(FAIL)
2025-07-15 20:43:41,NND alert test 2,NND alert test 2,"MI2 NND(C) #04 INTEGRATION LOT_ID: 21677cf6fd has NG Rate of 5.18% at 2025-07-15 20:43:33. Total defect count is 138. Surface defect count: 83, Dimension defect count: 55. Please Check!!",e724babc,NND alert test 2,SUCCESS,
2025-07-15 20:43:51,test 8,test 8,"MI2 NND(C) #03 NGMARKING LOT_ID: a0108e28b7 has NG Rate of 3.26% at 2025-07-15 20:43:43. Total defect count is 172. Surface defect count: 80, Dimension defect count: 92. Please Check!!",7f250ce1,test 8,SUCCESS,
2025-07-15 20:44:01,test 6,test 6,"MI2 NND(C) #06 INTEGRATION LOT_ID: 8c3412c28b has NG Rate of 15.13% at 2025-07-15 20:43:53. Total defect count is 46. Surface defect count: 8, Dimension defect count: 38. Please Check!!",ae6bd28d,test 6,SUCCESS,
2025-07-15 20:44:10,test 6,test 6,"MI2 NND(C) #01 INTEGRATION LOT_ID: 1cc4ada095 has NG Rate of 4.93% at 2025-07-15 20:44:03. Total defect count is 116. Surface defect count: 85, Dimension defect count: 31. Please Check!!",813c19d5,test 6,SUCCESS,
2025-07-15 20:44:20,test 7,test 7,"MI2 NND(A) #06 NGMARKING LOT_ID: bb033984b5 has NG Rate of 17.95% at 2025-07-15 20:44:12. Total defect count is 155. Surface defect count: 99, Dimension defect count: 56. Please Check!!",ff737b5d,test 7,SUCCESS,
2025-07-15 20:44:30,test 9,test 9,"MI2 NND(C) #03 FOIL LOT_ID: e4da7fb283 has NG Rate of 2.50% at 2025-07-15 20:44:22. Total defect count is 70. Surface defect count: 38, Dimension defect count: 32. Please Check!!",2fe3c12c,test 9,SUCCESS,
2025-07-15 20:44:40,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(C) #06 NGMARKING LOT_ID: 208665f1e0 has NG Rate of 10.27% at 2025-07-15 20:44:32. Total defect count is 127. Surface defect count: 60, Dimension defect count: 67. Please Check!!",cc82e279,김지희 (Jihee Kim),SUCCESS,
2025-07-15 20:44:50,test 5,test 5,"MI2 NND(A) #01 NGMARKING LOT_ID: 50c4061100 has NG Rate of 16.11% at 2025-07-15 20:44:42. Total defect count is 61. Surface defect count: 10, Dimension defect count: 51. Please Check!!",7d838409,test 5,SUCCESS,
2025-07-15 20:45:00,test 8,test 8,"MI2 NND(C) #05 NGMARKING LOT_ID: e4c925878a has NG Rate of 18.25% at 2025-07-15 20:44:52. Total defect count is 120. Surface defect count: 32, Dimension defect count: 88. Please Check!!",92ffb1c2,test 8,SUCCESS,
2025-07-15 20:45:10,test 9,test 9,"MI2 NND(A) #05 NGMARKING LOT_ID: e8ddd3b24e has NG Rate of 15.18% at 2025-07-15 20:45:02. Total defect count is 41. Surface defect count: 17, Dimension defect count: 24. Please Check!!",04e42817,test 9,SUCCESS,
2025-07-15 20:45:20,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(C) #05 FOIL LOT_ID: d7c148cd72 has NG Rate of 10.46% at 2025-07-15 20:45:12. Total defect count is 46. Surface defect count: 38, Dimension defect count: 8. Please Check!!",9c0ceaaf,김지희 (Jihee Kim),SUCCESS,
2025-07-15 20:45:30,NND alert test 3,NND alert test 3,"MI2 NND(C) #06 INTEGRATION LOT_ID: cac56d4932 has NG Rate of 17.46% at 2025-07-15 20:45:22. Total defect count is 60. Surface defect count: 53, Dimension defect count: 7. Please Check!!",b3dce07b,NND alert test 3,SUCCESS,
2025-07-15 20:45:39,test 9,test 9,"MI2 NND(A) #03 INTEGRATION LOT_ID: dd54a459da has NG Rate of 16.86% at 2025-07-15 20:45:32. Total defect count is 112. Surface defect count: 46, Dimension defect count: 66. Please Check!!",91b4a725,test 9,SUCCESS,
2025-07-15 20:45:49,NND alert test 2,NND alert test 2,"MI2 NND(A) #05 INTEGRATION LOT_ID: 0426803921 has NG Rate of 7.49% at 2025-07-15 20:45:41. Total defect count is 73. Surface defect count: 51, Dimension defect count: 22. Please Check!!",4eb3ab1c,NND alert test 2,SUCCESS,
2025-07-15 20:45:59,test 4,test 4,"MI2 NND(A) #02 NGMARKING LOT_ID: c3885cd871 has NG Rate of 2.73% at 2025-07-15 20:45:51. Total defect count is 137. Surface defect count: 91, Dimension defect count: 46. Please Check!!",6e655703,test 4,SUCCESS,
2025-07-15 20:46:09,test 9,test 9,"MI2 NND(A) #02 INTEGRATION LOT_ID: e8975d4d7a has NG Rate of 7.72% at 2025-07-15 20:46:01. Total defect count is 118. Surface defect count: 30, Dimension defect count: 88. Please Check!!",92e8a688,test 9,SUCCESS,
2025-07-15 20:46:19,test 10,test 10,"MI2 NND(A) #03 NGMARKING LOT_ID: bc3fd02c8f has NG Rate of 18.24% at 2025-07-15 20:46:11. Total defect count is 112. Surface defect count: 13, Dimension defect count: 99. Please Check!!",b0a8a21b,test 10,SUCCESS,
2025-07-15 20:46:29,test 9,test 9,"MI2 NND(C) #01 FOIL LOT_ID: 5cbf47ca46 has NG Rate of 16.21% at 2025-07-15 20:46:21. Total defect count is 83. Surface defect count: 65, Dimension defect count: 18. Please Check!!",3b357f63,test 9,SUCCESS,
2025-07-15 20:46:39,test 6,test 6,"MI2 NND(A) #03 FOIL LOT_ID: 448e01b493 has NG Rate of 1.20% at 2025-07-15 20:46:31. Total defect count is 52. Surface defect count: 34, Dimension defect count: 18. Please Check!!",9d93846d,test 6,SUCCESS,
2025-07-15 20:46:49,test 5,test 5,"MI2 NND(A) #05 INTEGRATION LOT_ID: 3f6d318e7e has NG Rate of 17.55% at 2025-07-15 20:46:41. Total defect count is 98. Surface defect count: 75, Dimension defect count: 23. Please Check!!",a58af420,test 5,SUCCESS,
2025-07-15 20:46:59,test 8,test 8,"MI2 NND(A) #06 INTEGRATION LOT_ID: 872043e7bd has NG Rate of 12.26% at 2025-07-15 20:46:51. Total defect count is 69. Surface defect count: 47, Dimension defect count: 22. Please Check!!",08b09bd0,test 8,SUCCESS,
2025-07-15 20:47:09,test 8,test 8,"MI2 NND(A) #01 NGMARKING LOT_ID: b1a6667903 has NG Rate of 0.58% at 2025-07-15 20:47:01. Total defect count is 47. Surface defect count: 31, Dimension defect count: 16. Please Check!!",6be645dd,test 8,SUCCESS,
2025-07-15 20:47:18,test 4,test 4,"MI2 NND(A) #06 NGMARKING LOT_ID: f2f66aef1c has NG Rate of 8.14% at 2025-07-15 20:47:11. Total defect count is 86. Surface defect count: 38, Dimension defect count: 48. Please Check!!",1f275954,test 4,SUCCESS,
2025-07-15 20:47:28,test 9,test 9,"MI2 NND(C) #01 INTEGRATION LOT_ID: 419301be44 has NG Rate of 10.87% at 2025-07-15 20:47:20. Total defect count is 70. Surface defect count: 59, Dimension defect count: 11. Please Check!!",83964ddf,test 9,SUCCESS,
2025-07-15 20:47:38,NND alert test 3,NND alert test 3,"MI2 NND(A) #04 NGMARKING LOT_ID: 92354a881d has NG Rate of 7.36% at 2025-07-15 20:47:30. Total defect count is 169. Surface defect count: 74, Dimension defect count: 95. Please Check!!",7bdf114f,NND alert test 3,SUCCESS,
2025-07-15 20:47:48,test 8,test 8,"MI2 NND(A) #06 INTEGRATION LOT_ID: 98749f0a09 has NG Rate of 11.98% at 2025-07-15 20:47:40. Total defect count is 128. Surface defect count: 66, Dimension defect count: 62. Please Check!!",720d79f6,test 8,SUCCESS,
2025-07-15 20:47:58,test 9,test 9,"MI2 NND(C) #05 NGMARKING LOT_ID: f76f0cccf4 has NG Rate of 5.73% at 2025-07-15 20:47:50. Total defect count is 151. Surface defect count: 94, Dimension defect count: 57. Please Check!!",0f390957,● AutoBotTest.py - 0.LG_Project - Visual Studio Code,FAIL,Message Sent to Wrong Chatroom
