Time,Chatroom(Desired),Chatroom(Opened),Message Input,Unique Code(Searched),Chatroom(Found),Status,Reason(FAIL)
2025-07-15 21:45:49,test 8,test 8,"MI2 NND(A) #01 INTEGRATION LOT_ID: 8402019609 has NG Rate of 1.44% at 2025-07-15 21:45:41. Total defect count is 69. Surface defect count: 30, Dimension defect count: 39. Please Check!!",272f96bf,Integrated Search,FAIL,Message Sent to Wrong Chatroom
2025-07-15 21:45:58,test 8,test 8,"MI2 NND(C) #03 INTEGRATION LOT_ID: e4815f6bcb has NG Rate of 16.18% at 2025-07-15 21:45:50. Total defect count is 104. Surface defect count: 19, Dimension defect count: 85. Please Check!!",79ff402f,test 8,SUCCESS,
2025-07-15 21:46:08,test 4,test 4,"MI2 NND(C) #06 INTEGRATION LOT_ID: c5dbef4c79 has NG Rate of 1.17% at 2025-07-15 21:46:00. Total defect count is 33. Surface defect count: 1, Dimension defect count: 32. Please Check!!",84c1f7f7,test 4,SUCCESS,
2025-07-15 21:46:18,NND alert test 2,NND alert test 2,"MI2 NND(C) #02 FOIL LOT_ID: fbc76d0735 has NG Rate of 14.30% at 2025-07-15 21:46:10. Total defect count is 82. Surface defect count: 12, Dimension defect count: 70. Please Check!!",3876524d,NND alert test 2,SUCCESS,
2025-07-15 21:46:28,test 7,test 7,"MI2 NND(C) #06 FOIL LOT_ID: 8aa4ef737b has NG Rate of 16.25% at 2025-07-15 21:46:20. Total defect count is 105. Surface defect count: 54, Dimension defect count: 51. Please Check!!",bd275de5,test 7,SUCCESS,
2025-07-15 21:46:37,NND alert test 1,NND alert test 1,"MI2 NND(A) #03 FOIL LOT_ID: a28894b96d has NG Rate of 2.11% at 2025-07-15 21:46:30. Total defect count is 112. Surface defect count: 84, Dimension defect count: 28. Please Check!!",e041569e,NND alert test 1,SUCCESS,
2025-07-15 21:46:47,NND alert test 2,NND alert test 2,"MI2 NND(C) #01 NGMARKING LOT_ID: ca11c49268 has NG Rate of 15.02% at 2025-07-15 21:46:39. Total defect count is 151. Surface defect count: 97, Dimension defect count: 54. Please Check!!",7be465ba,NND alert test 2,SUCCESS,
2025-07-15 21:46:57,NND alert test 1,NND alert test 1,"MI2 NND(C) #06 NGMARKING LOT_ID: 52deb87e43 has NG Rate of 4.28% at 2025-07-15 21:46:49. Total defect count is 88. Surface defect count: 52, Dimension defect count: 36. Please Check!!",ad83a1d0,NND alert test 1,SUCCESS,
2025-07-15 21:47:07,test 5,test 5,"MI2 NND(A) #02 FOIL LOT_ID: 0a0d6cea58 has NG Rate of 4.86% at 2025-07-15 21:46:59. Total defect count is 147. Surface defect count: 76, Dimension defect count: 71. Please Check!!",f5bd85b4,test 5,SUCCESS,
2025-07-15 21:47:17,NND alert test 2,NND alert test 2,"MI2 NND(C) #01 INTEGRATION LOT_ID: fb6854db66 has NG Rate of 7.73% at 2025-07-15 21:47:09. Total defect count is 44. Surface defect count: 35, Dimension defect count: 9. Please Check!!",8f903091,NND alert test 2,SUCCESS,
2025-07-15 21:47:27,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(C) #01 NGMARKING LOT_ID: 27d5a4a3cb has NG Rate of 14.04% at 2025-07-15 21:47:19. Total defect count is 41. Surface defect count: 10, Dimension defect count: 31. Please Check!!",2c2e9a58,김지희 (Jihee Kim),SUCCESS,
2025-07-15 21:47:37,test 6,test 6,"MI2 NND(A) #04 NGMARKING LOT_ID: 825b6a2856 has NG Rate of 1.41% at 2025-07-15 21:47:29. Total defect count is 162. Surface defect count: 87, Dimension defect count: 75. Please Check!!",8afe1fca,test 6,SUCCESS,
2025-07-15 21:47:47,test 9,test 9,"MI2 NND(C) #04 NGMARKING LOT_ID: bab570484b has NG Rate of 9.41% at 2025-07-15 21:47:39. Total defect count is 43. Surface defect count: 41, Dimension defect count: 2. Please Check!!",a73df284,test 9,SUCCESS,
2025-07-15 21:47:56,NND alert test 3,NND alert test 3,"MI2 NND(A) #01 FOIL LOT_ID: 7097d3e3a0 has NG Rate of 9.45% at 2025-07-15 21:47:49. Total defect count is 76. Surface defect count: 64, Dimension defect count: 12. Please Check!!",f9099097,NND alert test 3,SUCCESS,
2025-07-15 21:48:06,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(C) #05 FOIL LOT_ID: 220b8e2a5c has NG Rate of 3.65% at 2025-07-15 21:47:58. Total defect count is 59. Surface defect count: 7, Dimension defect count: 52. Please Check!!",70662599,김지희 (Jihee Kim),SUCCESS,
2025-07-15 21:48:16,test 5,test 5,"MI2 NND(A) #03 FOIL LOT_ID: 2890570bbf has NG Rate of 12.42% at 2025-07-15 21:48:08. Total defect count is 114. Surface defect count: 73, Dimension defect count: 41. Please Check!!",f3292ded,test 5,SUCCESS,
2025-07-15 21:48:26,test 10,test 10,"MI2 NND(A) #05 FOIL LOT_ID: 140b3476f8 has NG Rate of 19.95% at 2025-07-15 21:48:18. Total defect count is 183. Surface defect count: 98, Dimension defect count: 85. Please Check!!",a0cddad5,test 10,SUCCESS,
2025-07-15 21:48:36,test 8,test 8,"MI2 NND(C) #01 NGMARKING LOT_ID: e74d226b0a has NG Rate of 14.61% at 2025-07-15 21:48:28. Total defect count is 107. Surface defect count: 71, Dimension defect count: 36. Please Check!!",ca653a3e,test 8,SUCCESS,
2025-07-15 21:48:46,test 4,test 4,"MI2 NND(A) #03 FOIL LOT_ID: 37fb3ee7e0 has NG Rate of 1.65% at 2025-07-15 21:48:38. Total defect count is 141. Surface defect count: 80, Dimension defect count: 61. Please Check!!",fa718ae6,Integrated Search,FAIL,Message Sent to Wrong Chatroom
2025-07-15 21:48:55,test 10,test 10,"MI2 NND(C) #05 INTEGRATION LOT_ID: e332b66573 has NG Rate of 12.60% at 2025-07-15 21:48:47. Total defect count is 111. Surface defect count: 13, Dimension defect count: 98. Please Check!!",9ba5461f,test 10,SUCCESS,
