Time,Chatroom(Desired),Chatroom(Opened),Message Input,Unique Code(Searched),Chatroom(Found),Status,Reason(FAIL)
2025-07-15 22:17:31,test 9,test 9,"MI2 NND(A) #03 INTEGRATION LOT_ID: e45008ced6 has NG Rate of 17.65% at 2025-07-15 22:17:23. Total defect count is 170. Surface defect count: 74, Dimension defect count: 96. Please Check!!",df33a37d,Integrated Search,FAIL,Message Sent to Wrong Chatroom
2025-07-15 22:17:40,NND alert test 1,NND alert test 1,"MI2 NND(A) #02 NGMARKING LOT_ID: 2e1439bd77 has NG Rate of 11.16% at 2025-07-15 22:17:32. Total defect count is 156. Surface defect count: 77, Dimension defect count: 79. Please Check!!",0ed979d3,Integrated Search,FAIL,Message Sent to Wrong Chatroom
2025-07-15 22:17:49,test 7,test 7,"MI2 NND(C) #05 FOIL LOT_ID: fc540e83d5 has NG Rate of 2.89% at 2025-07-15 22:17:41. Total defect count is 65. Surface defect count: 6, Dimension defect count: 59. Please Check!!",27d74807,test 7,SUCCESS,
2025-07-15 22:17:59,test 5,test 5,"MI2 NND(A) #02 FOIL LOT_ID: 7573ec1b9d has NG Rate of 1.87% at 2025-07-15 22:17:51. Total defect count is 135. Surface defect count: 67, Dimension defect count: 68. Please Check!!",85bf9981,test 5,SUCCESS,
2025-07-15 22:23:09,NND alert test 2,NND alert test 2,"MI2 NND(A) #02 INTEGRATION LOT_ID: b6b068a310 has NG Rate of 3.50% at 2025-07-15 22:23:01. Total defect count is 69. Surface defect count: 47, Dimension defect count: 22. Please Check!!",9fdc36d0,NND alert test 2,SUCCESS,
2025-07-15 22:23:19,test 9,test 9,"MI2 NND(C) #05 INTEGRATION LOT_ID: 336ec9020c has NG Rate of 5.32% at 2025-07-15 22:23:11. Total defect count is 57. Surface defect count: 5, Dimension defect count: 52. Please Check!!",ec83ac39,test 9,SUCCESS,
2025-07-15 22:23:29,test 7,test 7,"MI2 NND(A) #01 FOIL LOT_ID: e3260f81d9 has NG Rate of 12.52% at 2025-07-15 22:23:21. Total defect count is 163. Surface defect count: 73, Dimension defect count: 90. Please Check!!",9af21235,test 7,SUCCESS,
2025-07-15 22:23:38,NND alert test 2,NND alert test 2,"MI2 NND(C) #05 NGMARKING LOT_ID: 752b3f51fb has NG Rate of 18.11% at 2025-07-15 22:23:31. Total defect count is 59. Surface defect count: 56, Dimension defect count: 3. Please Check!!",ad327daf,NND alert test 2,SUCCESS,
2025-07-15 22:23:48,test 4,test 4,"MI2 NND(C) #01 FOIL LOT_ID: 79acdb32db has NG Rate of 16.34% at 2025-07-15 22:23:40. Total defect count is 104. Surface defect count: 62, Dimension defect count: 42. Please Check!!",6b884f08,test 4,SUCCESS,
2025-07-15 22:23:58,test 5,test 5,"MI2 NND(A) #03 INTEGRATION LOT_ID: 299bb181e1 has NG Rate of 18.19% at 2025-07-15 22:23:50. Total defect count is 73. Surface defect count: 46, Dimension defect count: 27. Please Check!!",9822ad92,test 5,SUCCESS,
2025-07-15 22:24:08,test 4,test 4,"MI2 NND(C) #03 NGMARKING LOT_ID: 3ab9b94756 has NG Rate of 4.33% at 2025-07-15 22:24:00. Total defect count is 116. Surface defect count: 81, Dimension defect count: 35. Please Check!!",36b19faa,test 4,SUCCESS,
2025-07-15 22:24:18,NND alert test 1,NND alert test 1,"MI2 NND(A) #02 NGMARKING LOT_ID: e667f18f61 has NG Rate of 8.89% at 2025-07-15 22:24:10. Total defect count is 80. Surface defect count: 26, Dimension defect count: 54. Please Check!!",6588f7b7,NND alert test 1,SUCCESS,
2025-07-15 22:24:28,NND alert test 2,NND alert test 2,"MI2 NND(A) #03 INTEGRATION LOT_ID: 7bc0fc0951 has NG Rate of 3.47% at 2025-07-15 22:24:20. Total defect count is 155. Surface defect count: 65, Dimension defect count: 90. Please Check!!",73476c5e,NND alert test 2,SUCCESS,
2025-07-15 22:24:38,NND alert test 1,NND alert test 1,"MI2 NND(A) #01 INTEGRATION LOT_ID: ac0d1a0424 has NG Rate of 14.46% at 2025-07-15 22:24:30. Total defect count is 126. Surface defect count: 83, Dimension defect count: 43. Please Check!!",7173f712,NND alert test 1,SUCCESS,
2025-07-15 22:24:48,NND alert test 1,NND alert test 1,"MI2 NND(C) #06 INTEGRATION LOT_ID: 3fa753eb94 has NG Rate of 18.02% at 2025-07-15 22:24:40. Total defect count is 123. Surface defect count: 24, Dimension defect count: 99. Please Check!!",5f9c6ed2,NND alert test 1,SUCCESS,
2025-07-15 22:24:57,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(A) #02 FOIL LOT_ID: 1348b966a4 has NG Rate of 2.95% at 2025-07-15 22:24:50. Total defect count is 96. Surface defect count: 32, Dimension defect count: 64. Please Check!!",70b6ae3f,김지희 (Jihee Kim),SUCCESS,
2025-07-15 22:25:07,test 10,test 10,"MI2 NND(C) #04 INTEGRATION LOT_ID: a019246113 has NG Rate of 14.41% at 2025-07-15 22:24:59. Total defect count is 136. Surface defect count: 91, Dimension defect count: 45. Please Check!!",09398c57,test 10,SUCCESS,
2025-07-15 22:25:17,test 8,test 8,"MI2 NND(C) #05 NGMARKING LOT_ID: 5e63bfda27 has NG Rate of 3.32% at 2025-07-15 22:25:09. Total defect count is 175. Surface defect count: 79, Dimension defect count: 96. Please Check!!",cb1b02c8,test 8,SUCCESS,
2025-07-15 22:25:27,test 10,test 10,"MI2 NND(A) #03 FOIL LOT_ID: e2e204c40f has NG Rate of 12.39% at 2025-07-15 22:25:19. Total defect count is 34. Surface defect count: 7, Dimension defect count: 27. Please Check!!",5fe6b0c7,test 10,SUCCESS,
2025-07-15 22:25:37,test 7,test 7,"MI2 NND(C) #05 NGMARKING LOT_ID: 36dad0b8d6 has NG Rate of 2.67% at 2025-07-15 22:25:29. Total defect count is 92. Surface defect count: 59, Dimension defect count: 33. Please Check!!",03041d4a,test 7,SUCCESS,
2025-07-15 22:25:47,test 8,test 8,"MI2 NND(A) #02 INTEGRATION LOT_ID: 3d908b3d68 has NG Rate of 7.35% at 2025-07-15 22:25:39. Total defect count is 63. Surface defect count: 15, Dimension defect count: 48. Please Check!!",e78ca33c,test 8,SUCCESS,
2025-07-15 22:25:57,test 10,test 10,"MI2 NND(C) #04 FOIL LOT_ID: dd612466e8 has NG Rate of 19.90% at 2025-07-15 22:25:49. Total defect count is 145. Surface defect count: 83, Dimension defect count: 62. Please Check!!",e11348db,test 10,SUCCESS,
2025-07-15 22:26:07,test 7,test 7,"MI2 NND(C) #06 NGMARKING LOT_ID: a7c685e68e has NG Rate of 7.03% at 2025-07-15 22:25:59. Total defect count is 88. Surface defect count: 6, Dimension defect count: 82. Please Check!!",3b968066,test 7,SUCCESS,
2025-07-15 22:26:17,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(C) #04 FOIL LOT_ID: c823551bb7 has NG Rate of 15.75% at 2025-07-15 22:26:09. Total defect count is 90. Surface defect count: 88, Dimension defect count: 2. Please Check!!",cd941510,김지희 (Jihee Kim),SUCCESS,
2025-07-15 22:26:26,NND alert test 2,NND alert test 2,"MI2 NND(A) #05 NGMARKING LOT_ID: 8796865bd3 has NG Rate of 18.97% at 2025-07-15 22:26:19. Total defect count is 61. Surface defect count: 47, Dimension defect count: 14. Please Check!!",459af2c4,NND alert test 2,SUCCESS,
2025-07-15 22:26:36,test 7,test 7,"MI2 NND(C) #06 FOIL LOT_ID: bc028689dc has NG Rate of 18.56% at 2025-07-15 22:26:28. Total defect count is 121. Surface defect count: 45, Dimension defect count: 76. Please Check!!",7c61df52,test 7,SUCCESS,
2025-07-15 22:31:46,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(C) #06 FOIL LOT_ID: c0bd81ccd6 has NG Rate of 9.09% at 2025-07-15 22:31:38. Total defect count is 134. Surface defect count: 84, Dimension defect count: 50. Please Check!!",5f834a2c,김지희 (Jihee Kim),SUCCESS,
2025-07-15 22:31:56,test 10,test 10,"MI2 NND(A) #01 NGMARKING LOT_ID: 490b2e58aa has NG Rate of 1.65% at 2025-07-15 22:31:48. Total defect count is 109. Surface defect count: 12, Dimension defect count: 97. Please Check!!",6f868ec2,test 10,SUCCESS,
2025-07-15 22:32:06,test 6,test 6,"MI2 NND(C) #06 FOIL LOT_ID: 3c913b8726 has NG Rate of 15.14% at 2025-07-15 22:31:58. Total defect count is 78. Surface defect count: 9, Dimension defect count: 69. Please Check!!",a9a2abfc,test 6,SUCCESS,
2025-07-15 22:32:16,test 7,test 7,"MI2 NND(A) #02 NGMARKING LOT_ID: 2dc35521b9 has NG Rate of 5.66% at 2025-07-15 22:32:08. Total defect count is 44. Surface defect count: 15, Dimension defect count: 29. Please Check!!",bfc3de82,test 7,SUCCESS,
2025-07-15 22:32:26,NND alert test 3,NND alert test 3,"MI2 NND(A) #02 NGMARKING LOT_ID: 06677d83e0 has NG Rate of 2.53% at 2025-07-15 22:32:18. Total defect count is 30. Surface defect count: 22, Dimension defect count: 8. Please Check!!",cb08b1f3,NND alert test 3,SUCCESS,
2025-07-15 22:32:36,test 7,test 7,"MI2 NND(C) #01 FOIL LOT_ID: 2f7ed051da has NG Rate of 3.13% at 2025-07-15 22:32:28. Total defect count is 188. Surface defect count: 94, Dimension defect count: 94. Please Check!!",dbb0e0f9,test 7,SUCCESS,
2025-07-15 22:32:46,test 8,test 8,"MI2 NND(C) #05 INTEGRATION LOT_ID: fc2626a11b has NG Rate of 4.08% at 2025-07-15 22:32:38. Total defect count is 148. Surface defect count: 86, Dimension defect count: 62. Please Check!!",af782e76,test 8,SUCCESS,
2025-07-15 22:32:55,test 9,test 9,"MI2 NND(C) #01 INTEGRATION LOT_ID: dcc0283100 has NG Rate of 18.05% at 2025-07-15 22:32:48. Total defect count is 77. Surface defect count: 51, Dimension defect count: 26. Please Check!!",c3d8ff8a,test 9,SUCCESS,
2025-07-15 22:33:05,test 6,test 6,"MI2 NND(A) #02 FOIL LOT_ID: 31e9b583f2 has NG Rate of 10.83% at 2025-07-15 22:32:57. Total defect count is 155. Surface defect count: 86, Dimension defect count: 69. Please Check!!",cd8ad865,test 6,SUCCESS,
2025-07-15 22:33:15,test 6,test 6,"MI2 NND(A) #05 NGMARKING LOT_ID: e55c922d5c has NG Rate of 16.14% at 2025-07-15 22:33:07. Total defect count is 62. Surface defect count: 12, Dimension defect count: 50. Please Check!!",8367a492,test 6,SUCCESS,
2025-07-15 22:33:25,test 8,test 8,"MI2 NND(A) #02 INTEGRATION LOT_ID: 2ac61de5a9 has NG Rate of 8.22% at 2025-07-15 22:33:17. Total defect count is 93. Surface defect count: 83, Dimension defect count: 10. Please Check!!",76425171,test 8,SUCCESS,
2025-07-15 22:33:35,test 10,test 10,"MI2 NND(C) #05 FOIL LOT_ID: ef65b4ed63 has NG Rate of 13.53% at 2025-07-15 22:33:27. Total defect count is 112. Surface defect count: 88, Dimension defect count: 24. Please Check!!",d5dee9f2,test 10,SUCCESS,
2025-07-15 22:33:45,NND alert test 3,NND alert test 3,"MI2 NND(A) #01 INTEGRATION LOT_ID: 8ba3c0b0b8 has NG Rate of 9.41% at 2025-07-15 22:33:37. Total defect count is 74. Surface defect count: 18, Dimension defect count: 56. Please Check!!",e79e5ed9,NND alert test 3,SUCCESS,
2025-07-15 22:33:55,test 10,test 10,"MI2 NND(C) #05 NGMARKING LOT_ID: a0a95f6f25 has NG Rate of 8.96% at 2025-07-15 22:33:47. Total defect count is 91. Surface defect count: 18, Dimension defect count: 73. Please Check!!",d265b3f7,test 10,SUCCESS,
2025-07-15 22:34:05,test 6,test 6,"MI2 NND(A) #04 NGMARKING LOT_ID: 5881c77ae6 has NG Rate of 18.16% at 2025-07-15 22:33:57. Total defect count is 58. Surface defect count: 56, Dimension defect count: 2. Please Check!!",04bd4aaf,test 6,SUCCESS,
2025-07-15 22:34:15,test 5,test 5,"MI2 NND(C) #02 NGMARKING LOT_ID: ed6860e5b6 has NG Rate of 19.44% at 2025-07-15 22:34:07. Total defect count is 78. Surface defect count: 0, Dimension defect count: 78. Please Check!!",4b4d85dc,test 5,SUCCESS,
2025-07-15 22:34:24,test 10,test 10,"MI2 NND(C) #01 INTEGRATION LOT_ID: 5ee421b6ca has NG Rate of 2.08% at 2025-07-15 22:34:17. Total defect count is 127. Surface defect count: 47, Dimension defect count: 80. Please Check!!",3e1d18fd,test 10,SUCCESS,
2025-07-15 22:34:34,NND alert test 2,NND alert test 2,"MI2 NND(A) #05 FOIL LOT_ID: cd79adb7d4 has NG Rate of 8.03% at 2025-07-15 22:34:26. Total defect count is 159. Surface defect count: 92, Dimension defect count: 67. Please Check!!",5fd9fbee,NND alert test 2,SUCCESS,
2025-07-15 22:34:44,test 7,test 7,"MI2 NND(C) #03 FOIL LOT_ID: d710257df9 has NG Rate of 16.52% at 2025-07-15 22:34:36. Total defect count is 62. Surface defect count: 25, Dimension defect count: 37. Please Check!!",00c5d006,test 7,SUCCESS,
2025-07-15 22:34:54,test 4,test 4,"MI2 NND(C) #02 NGMARKING LOT_ID: 89d5265b22 has NG Rate of 6.65% at 2025-07-15 22:34:46. Total defect count is 98. Surface defect count: 98, Dimension defect count: 0. Please Check!!",4fe78e3e,test 4,SUCCESS,
2025-07-15 22:40:04,test 10,test 10,"MI2 NND(C) #04 FOIL LOT_ID: 4f3e2d11d2 has NG Rate of 1.86% at 2025-07-15 22:39:56. Total defect count is 166. Surface defect count: 95, Dimension defect count: 71. Please Check!!",299de717,test 10,SUCCESS,
2025-07-15 22:45:14,NND alert test 1,NND alert test 1,"MI2 NND(C) #06 INTEGRATION LOT_ID: 04741c832e has NG Rate of 5.57% at 2025-07-15 22:45:06. Total defect count is 75. Surface defect count: 42, Dimension defect count: 33. Please Check!!",d2254d64,NND alert test 1,SUCCESS,
2025-07-15 22:45:24,test 10,test 10,"MI2 NND(A) #04 FOIL LOT_ID: a6a0038c8a has NG Rate of 1.22% at 2025-07-15 22:45:16. Total defect count is 108. Surface defect count: 48, Dimension defect count: 60. Please Check!!",f7b5a2e7,test 10,SUCCESS,
2025-07-15 22:45:34,test 9,test 9,"MI2 NND(A) #06 INTEGRATION LOT_ID: eba9c6e64e has NG Rate of 5.20% at 2025-07-15 22:45:26. Total defect count is 98. Surface defect count: 78, Dimension defect count: 20. Please Check!!",7867e4bf,test 9,SUCCESS,
2025-07-15 22:45:44,test 8,test 8,"MI2 NND(C) #04 INTEGRATION LOT_ID: ae8d268c53 has NG Rate of 1.35% at 2025-07-15 22:45:36. Total defect count is 24. Surface defect count: 20, Dimension defect count: 4. Please Check!!",777960c5,test 8,SUCCESS,
2025-07-15 22:45:53,test 9,test 9,"MI2 NND(A) #06 NGMARKING LOT_ID: 6794f2aefe has NG Rate of 10.77% at 2025-07-15 22:45:46. Total defect count is 178. Surface defect count: 96, Dimension defect count: 82. Please Check!!",8aa2a176,test 9,SUCCESS,
2025-07-15 22:46:03,test 4,test 4,"MI2 NND(A) #05 FOIL LOT_ID: 4c6202ab61 has NG Rate of 0.22% at 2025-07-15 22:45:55. Total defect count is 69. Surface defect count: 31, Dimension defect count: 38. Please Check!!",e11a52ea,test 4,SUCCESS,
2025-07-15 22:46:13,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(C) #03 INTEGRATION LOT_ID: ee63e81314 has NG Rate of 6.29% at 2025-07-15 22:46:05. Total defect count is 154. Surface defect count: 73, Dimension defect count: 81. Please Check!!",86ba83fd,김지희 (Jihee Kim),SUCCESS,
